,Unnamed: 0,S.No,Location,Latitude_1,Longitude_1,CID
0,0,0,ÿAdyar Bus Debot.,12.15,80.08472222,0
1,1,1,ÿAdyar Signal,13.00083333,80.08527778,1
2,2,2,ÿAlandur,13.00222222,80.03472222,2
3,3,3,ÿAmbattur,13.10166667,80.00055556,3
4,4,4,ÿAnna Arch,13.06888889,80.05166667,4
5,5,5,ÿAnna Nagar Roundana,13.08444444,80.05138889,5
6,6,6,ÿAnna Nagar West Terminus,13.08472222,80.01805556,6
7,7,7,ÿAnna Statue,13.06805556,80.1025,7
8,8,8,ÿAnna University Entrance,13.0025,80.06833333,8
9,9,9,ÿAvadi,13.1175,80.10166667,9
10,10,10,ÿAVM Studio,13.03388889,80.03555556,10
11,11,11,ÿAyyappa Temple,13.05083333,80.05111111,11
12,12,12,ÿBasin Bridge,13.10222222,80.10194444,12
13,13,13,ÿChennai Airport,12.15055556,80.0,13
14,14,14,ÿChennai Central,13.06833333,80.10055556,7
15,15,15,ÿChennai Mofussil Bus Terminas (CMBT),13.06777778,80.03361111,14
16,16,16,ÿChennai Trade Center,13.00083333,80.01888889,15
17,17,17,ÿChepaukam Stadium,13.05027778,80.08583333,16
18,18,18,ÿchetput,13.06777778,80.06777778,17
19,19,19,ÿChintadripet,13.06888889,80.10166667,7
20,20,20,ÿChintamani Signal,13.085,80.05194444,5
21,21,21,ÿChola,13.03583333,80.08472222,18
22,22,22,ÿChurch Park,13.05111111,80.085,16
23,23,23,ÿCIPET,13.00027778,80.03527778,2
24,24,24,ÿCIT Nagar Roundana,13.01722222,80.06777778,19
25,25,25,ÿCLRI,13.00222222,80.0675,8
26,26,26,ÿDPI,13.06805556,80.06805556,17
27,27,27,ÿEgmore Railway Station,13.06666667,80.08388889,20
28,28,28,ÿEthiraj College,13.0525,80.085,16
29,29,29,ÿGemini Flyover,13.05222222,80.08444444,16
30,30,30,ÿGreams Road,13.05083333,80.08555556,16
31,31,31,ÿGuindy Race Course,13.00194444,80.05027778,21
32,32,32,ÿGuindy Railway Station,13.0,80.03472222,2
33,33,33,ÿHTL Colony,13.01805556,80.03555556,22
34,34,34,ÿIIT Madras,13.0025,80.06694444,8
35,35,35,"ÿIndra Nagar, Adyar",12.15166667,80.08472222,0
36,36,36,ÿIsphani,13.05222222,80.06916667,23
37,37,37,ÿKamarajar Arangam,13.035,80.0675,24
38,38,38,ÿKapaleeswarar Temple,13.05,80.10111111,25
39,39,39,ÿKasi Viswanathar Temple,13.03333333,80.0525,26
40,40,40,"ÿKasturiba Nagar, Adyar",13.00055556,80.06722222,8
41,41,41,ÿKathipara Junction,13.00166667,80.03444444,2
42,42,42,ÿKodampakkam,13.05222222,80.05055556,11
43,43,43,ÿKorukkupet,13.11722222,80.1,9
44,44,44,ÿKoyambedu Omni Bus Terminus,13.06833333,80.01777778,27
45,45,45,ÿKoyambedu Super Market,13.0675,80.01888889,27
46,46,46,ÿLe Meridian,13.00111111,80.03583333,2
47,47,47,ÿLight House,13.03555556,80.10222222,28
48,48,48,ÿLoyolo College,13.0525,80.06805556,23
49,49,49,ÿMadhavaram,13.01722222,80.085,29
50,50,50,ÿMadhya Kailash,13.00083333,80.06916667,8
51,51,51,ÿMambalam,13.03333333,80.05083333,26
52,52,52,ÿManali,13.15138889,80.08361111,30
53,53,53,ÿMinambakkam,12.15138889,80.0,13
54,54,54,ÿMIOT Hospital,13.0175,80.01805556,31
55,55,55,ÿMMM Hospital,13.08333333,80.01805556,6
56,56,56,ÿMRTS,12.13388889,80.05055556,32
57,57,57,ÿMugappair East Terminus,13.06916667,80.0,33
58,58,58,ÿMugappair West,13.06805556,80.00083333,33
59,59,59,ÿMusic Academy,13.03472222,80.08444444,18
60,60,60,ÿNandanam Signal,13.01722222,80.06777778,19
61,61,61,ÿNanganallur,12.15,80.01888889,34
62,62,62,"ÿNehru Nagar, Adyar",13.00222222,80.085,1
63,63,63,ÿNewaharlal Nehru Stadium,13.08555556,80.10222222,35
64,64,64,ÿNungampakkam Railway Station,13.05111111,80.05194444,11
65,65,65,ÿPanagal Park,13.03583333,80.05,26
66,66,66,ÿPark Sheraton Hotel,13.01805556,80.06861111,19
67,67,67,ÿParrys Bus Stand,13.08444444,80.11722222,36
68,68,68,ÿParthasarathy Temple,13.05027778,80.1,25
69,69,69,ÿPazhavanthangal,12.15083333,80.01888889,34
70,70,70,ÿPerambur Loco Works,13.10194444,80.05027778,37
71,71,71,ÿPlanetarium,13.00027778,80.06888889,8
72,72,72,ÿPoonamallee,13.03416667,80.10083333,28
73,73,73,ÿRamachandra Medical College & Hospital,13.03416667,80.13472222,38
74,74,74,ÿRoyapuram,13.10166667,80.11694444,39
75,75,75,ÿSaidapet Bus Terminus,13.01777778,80.0525,40
76,76,76,ÿSaidapet Court,13.00194444,80.05,21
77,77,77,ÿShastri Bhavan,13.05194444,80.06666667,23
78,78,78,ÿSri Kothanda Ramaswamy Temple,13.03444444,80.05,26
79,79,79,ÿSt. Thomas Mount,13.0,80.01805556,15
80,80,80,ÿStella Maris,13.035,80.085,18
81,81,81,ÿT. Nagar Bus Terminus,13.03444444,80.05222222,26
82,82,82,ÿTaj Coromandal,13.0525,80.06916667,23
83,83,83,ÿTemple Tower,13.01666667,80.06861111,19
84,84,84,ÿTeynampet Signal,13.03388889,80.06888889,24
85,85,85,ÿTharamani,12.15055556,80.06666667,41
86,86,86,ÿThe US Consulate,13.05222222,80.085,16
87,87,87,ÿThirumangalam Signal,13.08333333,80.01805556,6
88,88,88,ÿThiruvanmiyur,12.15138889,80.08527778,0
89,89,89,ÿThiruvanmiyur Bus Terminus,12.15111111,80.08527778,0
90,90,90,ÿThiruvanmiyur Junction,12.15138889,80.08361111,0
91,91,91,ÿTidel Park,12.15055556,80.06722222,41
92,92,92,ÿTiruvottiyur,13.15166667,80.1175,42
93,93,93,ÿTondiarpet,13.11833333,80.10166667,9
94,94,94,ÿTriplicane,13.05027778,80.1,25
95,95,95,ÿTriplicane Railway Station,13.05194444,80.1,25
96,96,96,ÿTVS Signal,13.10138889,80.01694444,43
97,97,97,ÿVadapalani Signal,13.035,80.03416667,10
98,98,98,ÿValluvar Kottam,13.05166667,80.06666667,23
99,99,99,ÿVani Mahal,13.03361111,80.06805556,24
100,100,100,ÿVelachery Bus Terminus,12.13416667,80.05138889,32
101,101,101,ÿVillivakkam,13.10166667,80.03388889,44
102,102,102,ÿVyasar Padi,13.10083333,80.08472222,45
103,103,103,ÿWashermanpet,13.10027778,80.10055556,12
104,104,104,ÿWoodlands Drive In,13.05,80.08444444,16
